-1.500000,-7.574000
-1.700000,-7.574000
-1.866000,-5.783000
-1.966000,-5.783000
-2.062000,-4.083000
-2.162000,-4.083000
-2.258000,-2.276000
-2.358000,-2.276000
-2.443000,-0.465000
-2.543000,-0.465000
-2.634000,1.245000
-2.734000,1.245000
-2.900000,-7.574000
-3.000000,-7.574000
-3.066000,-5.783000
-3.166000,-5.783000
-3.262000,-4.083000
-3.362000,-4.083000
-3.458000,-2.176000
-3.558000,-2.176000
-3.643000,-0.465000
-3.743000,-0.465000
-3.834000,1.245000
-3.934000,1.245000
-4.100000,-7.574000
-4.200000,-7.574000
-4.266000,-5.783000
-4.366000,-5.783000
-4.462000,-4.083000
-4.562000,-4.083000
-4.758000,-2.276000
-4.958000,-2.276000
-5.143000,-0.465000
-5.343000,-0.465000
-5.534000,1.245000
-5.734000,1.245000
-6.100000,-7.574000
-6.366000,-5.783000
-6.662000,-3.983000
-6.958000,-2.176000
-7.343000,-0.365000
-7.734000,1.446000
-8.200000,-7.574000
-8.566000,-5.783000
-9.162000,-3.983000
-9.758000,-2.176000
-10.343000,-0.365000
-10.934000,1.446000
-12.000000,-7.574000
-12.966000,-5.783000
-13.962000,-3.983000
-14.958000,-2.176000
-15.943000,-0.365000
-16.934000,1.446000
-18.815000,-3.983000
-20.815000,-3.983000
-22.815000,-3.983000
-24.815000,-3.983000
-26.815000,-3.983000
-28.815000,-3.983000
-31.694000,-3.983000
-34.694000,-3.983000
-37.694000,-3.983000
-41.694000,-3.983000
